No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
14,宋承宪,男,1976年10月5日,演员,韩国,韩国首尔市,"宋承宪，本名“宋承复”，1976年10月5日出生于韩国首尔市。韩国男演员，毕业于韩国京畿大学。
1995年，为休闲服装品牌Storm拍广告加入模特行业。1996年，参演情景剧《三男三女》，正式踏入影视圈。2000年，主演爱情剧《蓝色生死恋》，该剧最高收视率达54.4%，为2000年度韩国电视剧收视冠军[1]  2004年11月参军入伍 。2006年，8月正式退伍 。2009年，建立Storm.S公司，作为自己的经纪公司",https://baike.baidu.com/item/%E5%AE%8B%E6%89%BF%E5%AE%AA
15,木村拓哉,男,1972年11月13日,演员，歌手，艺人，声优,日本,日本东京,"木村拓哉（きむら たくや、Kimura Takuya），1972年11月13日出生于日本东京都。日本演员，歌手，艺人，声优，男子偶像组合SMAP全活动时期（1988年-2016年）的成员之一。隶属于日本杰尼斯事务所。妻子是工藤静香，是两个孩子的父亲。
1987年加入杰尼斯事务所，1988年组成SMAP组合，并于1991年正式出道。 从1983-2016的33年间，平均收视率前五名的日剧中，有四部是由木村拓哉主演。",https://baike.baidu.com/item/%E6%9C%A8%E6%9D%91%E6%8B%93%E5%93%89
16,王源,男,2000年11月8日,歌手、演员、主持人,中国,中国重庆,王源，2000年11月8日出生于重庆，中国内地男歌手、演员、主持人，TFBOYS成员。2011年底成为TF家族练习生，2013年8月6日以组合形式出道。2015年开始独立作词作曲，2016年单曲《因为遇见你》播放量破3亿、微博转发破4亿，获第9届城市至尊音乐榜年度听众最爱新人。,https://baike.baidu.com/item/%E7%8E%8B%E6%BA%90/5475062
17,吴尊,男,1979年10月10日,演员、流行乐歌手,文莱,文莱,吴尊（Chun Wu），原名吴吉尊，1979年10月10日出生于文莱，华语影视男演员、流行乐歌手，毕业于澳大利亚皇家墨尔本理工大学。2005年，加入“飞轮海”组合，并宣布正式出道。2006年，在青春励志偶像剧《东方茱丽叶》中饰演男主角纪风亮。2010年，获得“第五届亚洲模特儿奖颁奖典礼”亚洲明星奖。2011年，吴尊因无心歌唱事业，而选择退出飞轮海，并将工作的重心放到了戏剧上；同年，获得“MTV超级盛典”最具风格新锐演员奖 。,https://baike.baidu.com/item/%E5%90%B4%E5%B0%8A
18,靳东,男,1976年12月22日,演员、歌手,中国,中国山东省,"靳东，男，中国内地演员、歌手，1976年12月22日出生于山东省。2003年毕业于中央戏剧学院表演系音乐剧本科班。
1993年在电视剧《东方商人》中饰演少年高显阳，就此踏足演艺界。1999年考入中央戏剧学院表演系音乐剧本科班。",https://baike.baidu.com/item/%E9%9D%B3%E4%B8%9C/15622
19,黄晓明,男,1977年11月13日,演员、歌手、商人,中国,中国山东省青岛市,黄晓明，1977年11月13日生于山东省青岛市市南区，中国内地男演员、歌手、商人，毕业于北京电影学院表演系。1998年主演个人首部电视剧《爱情不是游戏》，从而进入演艺圈。2001年因在古装剧《大汉天子》中饰演刘彻一角而获得关注。2005年起连续10年入选“福布斯中国名人榜”。2006年主演武侠剧《神雕侠侣》。2007年凭借民国剧《新上海滩》获得第13届上海电视节白玉兰奖最佳男演员提名，同年发行个人首张专辑《It's Ming》。2008年将演艺事业的重心转向电影。,https://baike.baidu.com/item/%E9%BB%84%E6%99%93%E6%98%8E/6597
20,袁弘,男,1982年8月23日,演员,中国,中国湖北省武汉市,袁弘，1982年8月23日出生于湖北省武汉市，中国内地男演员，毕业于上海戏剧学院表演系2001级本科。2003年，参演个人首部电视剧《天下无双》而进入演艺圈。2006年，因出演武侠剧《射雕英雄传》中杨康一角崭露头角。2009年，主演古装喜剧《神医大道公》；10月，主演传奇剧《天涯织女》。,https://baike.baidu.com/item/%E8%A2%81%E5%BC%98/658161
21,张艺兴,男,1991年10月7日,演员、歌手,中国,中国湖南省长沙市,张艺兴（LAY），1991年10月7日出生于湖南省长沙市，内地流行男歌手、影视演员，男子演唱组合EXO/EXOM中国籍成员。2005年，张艺兴参加湖南经视《明星学院》比赛并获得总决赛季军。2008年，通过S.M.CastingSystem在中国的选拔成为韩国SM公司旗下练习生。2012年4月，以EXO团体和其子队EXOM成员身份正式出道。2015年4月8日，张艺兴在中国成立个人工作室，5月，因加盟励志体验真人秀节目《极限挑战》而受到广泛关注。,https://baike.baidu.com/item/%E5%BC%A0%E8%89%BA%E5%85%B4
22,李晨,男,1978年11月24日,演员、导演、监制、赛车手,中国,中国北京市,李晨，1978年11月24日出生于北京市，中国内地影视男演员、导演、监制、赛车手，毕业于北京群星艺术学院。1997年，出演个人首部电视剧《十七岁不哭》，从而正式进入演艺圈。2014年，参加浙江卫视户外竞技真人秀《奔跑吧兄弟》的录制；同年，主演古装宫廷剧《武媚娘传奇》。,https://baike.baidu.com/item/%E6%9D%8E%E6%99%A8/7049
23,王凯,男,1982年8月18日,演员、歌手,中国,中国湖北武汉,王凯，1982年8月18日出生于湖北武汉，中国内地男演员、歌手，毕业于中央戏剧学院03级表演本科班。2005年，出演首部电视剧《寒秋》进入娱乐圈。2013年，参演历史剧《北平无战事》，凭借剧中方孟韦一角，获得第28届中国电视金鹰奖观众喜爱的男演员奖提名。2015年，电视剧《伪装者》和《琅琊榜》的相继播出让王凯被观众熟知，其凭借《琅琊榜》中萧景琰一角获得亚洲彩虹奖最佳男配角及第22届上海电视节白玉兰奖最佳男配角的提名,https://baike.baidu.com/item/%E7%8E%8B%E5%87%AF/7062
